Name,Geography Type,Year,Resident Population,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank,Number of Representatives,Change in Number of Representatives,Average Apportionment Population Per Representative
Alabama,State,1910,"2,138,093",16.9,42.2,25,10,1,"213,809"
Alaska,State,1910,"64,356",1.2,0.1,52,,,
Arizona,State,1910,"204,354",66.2,1.8,49,,,
Arkansas,State,1910,"1,574,449",20,30.3,30,7,0,"224,921"
California,State,1910,"2,377,549",60.1,15.3,38,11,3,"216,051"
Colorado,State,1910,"799,024",48,7.7,42,4,1,"199,643"
Connecticut,State,1910,"1,114,756",22.7,230.2,6,5,0,"222,951"
Delaware,State,1910,"202,322",9.5,103.8,11,1,0,"202,322"
District of Columbia,State,1910,"331,069",18.8,"5,423.10",1,,,
Florida,State,1910,"752,619",42.4,14,40,4,1,"188,155"
Georgia,State,1910,"2,609,121",17.7,45.4,23,12,1,"217,427"
Hawaii,State,1910,"191,909",24.6,29.9,31,,,
Idaho,State,1910,"325,594",101.3,3.9,46,2,1,"161,720"
Illinois,State,1910,"5,638,591",16.9,101.6,12,27,2,"208,837"
Indiana,State,1910,"2,700,876",7.3,75.4,13,13,0,"207,760"
Iowa,State,1910,"2,224,771",-0.3,39.8,26,11,0,"202,252"
Kansas,State,1910,"1,690,949",15,20.7,35,8,0,"211,369"
Kentucky,State,1910,"2,289,905",6.6,58,14,11,0,"208,173"
Louisiana,State,1910,"1,656,388",19.9,38.3,29,8,1,"207,049"
Maine,State,1910,"742,371",6.9,24.1,33,4,0,"185,593"
Maryland,State,1910,"1,295,346",9,133.4,9,6,0,"215,891"
Massachusetts,State,1910,"3,366,416",20,431.6,3,16,2,"210,401"
Michigan,State,1910,"2,810,173",16.1,49.7,19,13,1,"216,167"
Minnesota,State,1910,"2,075,708",18.5,26.1,32,10,1,"207,438"
Mississippi,State,1910,"1,797,114",15.8,38.3,28,8,0,"224,639"
Missouri,State,1910,"3,293,335",6,47.9,21,16,0,"205,833"
Montana,State,1910,"376,053",54.5,2.6,48,2,1,"183,169"
Nebraska,State,1910,"1,192,214",11.8,15.5,37,6,0,"198,702"
Nevada,State,1910,"81,875",93.4,0.7,51,1,0,"80,293"
New Hampshire,State,1910,"430,572",4.6,48.1,20,2,0,"215,286"
New Jersey,State,1910,"2,537,167",34.7,345,4,12,2,"211,431"
New Mexico,State,1910,"327,301",67.6,2.7,47,,,
New York,State,1910,"9,113,614",25.4,193.4,7,43,6,"211,836"
North Carolina,State,1910,"2,206,287",16.5,45.4,22,10,0,"220,629"
North Dakota,State,1910,"577,056",80.8,8.4,41,3,1,"191,468"
Ohio,State,1910,"4,767,121",14.7,116.7,10,22,1,"216,687"
Oklahoma,State,1910,"1,657,155",109.7,24.2,33,8,8,"207,144"
Oregon,State,1910,"672,765",62.7,7,44,3,1,"224,255"
Pennsylvania,State,1910,"7,665,111",21.6,171.3,8,36,4,"212,920"
Puerto Rico,State,1910,"1,118,012",17.3,326.5,5,,,
Rhode Island,State,1910,"542,610",26.6,524.9,2,3,1,"180,870"
South Carolina,State,1910,"1,515,400",13.1,50.4,18,7,0,"216,486"
South Dakota,State,1910,"583,888",45.4,7.7,42,3,1,"191,892"
Tennessee,State,1910,"2,184,789",8.1,53,15,10,0,"218,479"
Texas,State,1910,"3,896,542",27.8,14.9,39,18,2,"216,475"
Utah,State,1910,"373,351",34.9,4.5,45,2,1,"185,932"
Vermont,State,1910,"355,956",3.6,38.6,27,2,0,"177,978"
Virginia,State,1910,"2,061,612",11.2,52.2,16,10,0,"206,161"
Washington,State,1910,"1,141,990",120.4,17.2,36,5,2,"228,027"
West Virginia,State,1910,"1,221,119",27.4,50.8,17,6,1,"203,520"
Wisconsin,State,1910,"2,333,860",12.8,43.1,24,11,0,"212,078"
Wyoming,State,1910,"145,965",57.7,1.5,50,1,0,"144,658"
Midwest Region,Region,1910,"29,888,542",13.5,,,,,
Northeast Region,Region,1910,"25,868,573",22.9,,,,,
South Region,Region,1910,"29,389,330",19.8,,,,,
West Region,Region,1910,"7,082,086",64.4,,,,,
United States,Nation,1910,"92,228,531",21,26,,433,47,"210,328"
Alabama,State,1920,"2,348,174",9.8,46.4,25,10,0,"234,817"
Alaska,State,1920,"55,036",-14.5,0.1,52,,,
Arizona,State,1920,"334,162",63.5,2.9,49,1,1,"309,495"
Arkansas,State,1920,"1,752,204",11.3,33.7,31,7,0,"250,315"
California,State,1920,"3,426,861",44.1,22,35,11,0,"311,457"
Colorado,State,1920,"939,629",17.6,9.1,42,4,0,"234,790"
Connecticut,State,1920,"1,380,631",23.9,285.1,6,5,0,"276,126"
Delaware,State,1920,"223,003",10.2,114.4,12,1,0,"223,003"
District of Columbia,State,1920,"437,571",32.2,"7,167.60",1,,,
Florida,State,1920,"968,470",28.7,18.1,38,4,0,"242,118"
Georgia,State,1920,"2,895,832",11,50.4,21,12,0,"241,319"
Hawaii,State,1920,"255,912",33.4,39.8,28,,,
Idaho,State,1920,"431,866",32.6,5.2,46,2,0,"215,221"
Illinois,State,1920,"6,485,280",15,116.8,11,27,0,"240,196"
Indiana,State,1920,"2,930,390",8.5,81.8,13,13,0,"225,415"
Iowa,State,1920,"2,404,021",8.1,43,26,11,0,"218,547"
Kansas,State,1920,"1,769,257",4.6,21.6,36,8,0,"221,157"
Kentucky,State,1920,"2,416,630",5.5,61.2,15,11,0,"219,694"
Louisiana,State,1920,"1,798,509",8.6,41.6,27,8,0,"224,814"
Maine,State,1920,"768,014",3.5,24.9,34,4,0,"192,004"
Maryland,State,1920,"1,449,661",11.9,149.3,9,6,0,"241,610"
Massachusetts,State,1920,"3,852,356",14.4,493.9,3,16,0,"240,772"
Michigan,State,1920,"3,668,412",30.5,64.9,14,13,0,"282,186"
Minnesota,State,1920,"2,387,125",15,30,32,10,0,"238,566"
Mississippi,State,1920,"1,790,618",-0.4,38.2,29,8,0,"223,827"
Missouri,State,1920,"3,404,055",3.4,49.5,22,16,0,"212,753"
Montana,State,1920,"548,889",46,3.8,47,2,0,"270,756"
Nebraska,State,1920,"1,296,372",8.7,16.9,40,6,0,"216,062"
Nevada,State,1920,"77,407",-5.5,0.7,51,1,0,"75,820"
New Hampshire,State,1920,"443,083",2.9,49.5,22,2,0,"221,542"
New Jersey,State,1920,"3,155,900",24.4,429.1,4,12,0,"262,992"
New Mexico,State,1920,"360,350",10.1,3,48,1,1,"353,428"
New York,State,1920,"10,385,227",14,220.4,7,43,0,"241,409"
North Carolina,State,1920,"2,559,123",16,52.6,20,10,0,"255,912"
North Dakota,State,1920,"646,872",12.1,9.4,41,3,0,"214,651"
Ohio,State,1920,"5,759,394",20.8,141,10,22,0,"261,791"
Oklahoma,State,1920,"2,028,283",22.4,29.6,33,8,0,"253,535"
Oregon,State,1920,"783,389",16.4,8.2,44,3,0,"261,130"
Pennsylvania,State,1920,"8,720,017",13.8,194.9,8,36,0,"242,223"
Puerto Rico,State,1920,"1,299,809",16.3,379.6,5,,,
Rhode Island,State,1920,"604,397",11.4,584.6,2,3,0,"201,466"
South Carolina,State,1920,"1,683,724",11.1,56,19,7,0,"240,532"
South Dakota,State,1920,"636,547",9,8.4,43,3,0,"210,413"
Tennessee,State,1920,"2,337,885",7,56.7,18,10,0,"233,789"
Texas,State,1920,"4,663,228",19.7,17.9,39,18,0,"259,068"
Utah,State,1920,"449,396",20.4,5.5,45,2,0,"224,194"
Vermont,State,1920,"352,428",-1,38.2,30,2,0,"176,214"
Virginia,State,1920,"2,309,187",12,58.5,17,10,0,"230,919"
Washington,State,1920,"1,356,621",18.8,20.4,37,5,0,"270,919"
West Virginia,State,1920,"1,463,701",19.9,60.9,15,6,0,"243,950"
Wisconsin,State,1920,"2,632,067",12.8,48.6,24,11,0,"239,210"
Wyoming,State,1920,"194,402",33.2,2,50,1,0,"193,487"
Midwest Region,Region,1920,"34,019,792",13.8,,,,,
Northeast Region,Region,1920,"29,662,053",14.7,,,,,
South Region,Region,1920,"33,125,803",12.7,,,,,
West Region,Region,1920,"9,213,920",30.1,,,,,
United States,Nation,1920,"106,021,568",15,29.9,,435,0,"241,864"
Alabama,State,1930,"2,646,248",12.7,52.3,24,9,-1,"294,027"
Alaska,State,1930,"59,278",7.7,0.1,52,,,
Arizona,State,1930,"435,573",30.3,3.8,47,1,1,"389,375"
Arkansas,State,1930,"1,854,482",5.8,35.6,32,7,0,"264,921"
California,State,1930,"5,677,251",65.7,36.4,31,20,9,"283,412"
Colorado,State,1930,"1,035,791",10.2,10,41,4,0,"258,712"
Connecticut,State,1930,"1,606,903",16.4,331.8,6,6,1,"267,816"
Delaware,State,1930,"238,380",6.9,122.3,12,1,0,"238,380"
District of Columbia,State,1930,"486,869",11.3,"7,975.10",1,,,
Florida,State,1930,"1,468,211",51.6,27.4,35,5,1,"293,638"
Georgia,State,1930,"2,908,506",0.4,50.6,26,10,-2,"290,845"
Hawaii,State,1930,"368,336",43.9,57.3,21,,,
Idaho,State,1930,"445,032",3,5.4,46,2,0,"220,768"
Illinois,State,1930,"7,630,654",17.7,137.4,11,27,0,"282,607"
Indiana,State,1930,"3,238,503",10.5,90.4,13,12,-1,"269,873"
Iowa,State,1930,"2,470,939",2.8,44.2,28,9,-2,"274,491"
Kansas,State,1930,"1,880,999",6.3,23,38,7,-1,"268,500"
Kentucky,State,1930,"2,614,589",8.2,66.2,16,9,-2,"290,508"
Louisiana,State,1930,"2,101,593",16.9,48.6,27,8,0,"262,699"
Maine,State,1930,"797,423",3.8,25.9,36,3,-1,"265,806"
Maryland,State,1930,"1,631,526",12.5,168.1,9,6,0,"271,920"
Massachusetts,State,1930,"4,249,614",10.3,544.8,4,15,-1,"283,307"
Michigan,State,1930,"4,842,325",32,85.6,14,17,4,"284,827"
Minnesota,State,1930,"2,563,953",7.4,32.2,34,9,-1,"283,509"
Mississippi,State,1930,"2,009,821",12.2,42.8,29,7,-1,"286,879"
Missouri,State,1930,"3,629,367",6.6,52.8,23,13,-3,"279,162"
Montana,State,1930,"537,606",-2.1,3.7,48,2,0,"262,365"
Nebraska,State,1930,"1,377,963",6.3,17.9,40,5,-1,"275,025"
Nevada,State,1930,"91,058",17.6,0.8,51,1,0,"86,390"
New Hampshire,State,1930,"465,293",5,52,25,2,0,"232,646"
New Jersey,State,1930,"4,041,334",28.1,549.5,3,14,2,"288,666"
New Mexico,State,1930,"423,317",17.5,3.5,49,1,1,"395,982"
New York,State,1930,"12,588,066",21.2,267.1,7,45,2,"279,733"
North Carolina,State,1930,"3,170,276",23.9,65.2,17,11,1,"287,934"
North Dakota,State,1930,"680,845",5.3,9.9,42,2,-1,"336,670"
Ohio,State,1930,"6,646,697",15.4,162.7,10,24,2,"276,943"
Oklahoma,State,1930,"2,396,040",18.1,34.9,33,9,1,"264,691"
Oregon,State,1930,"953,786",21.8,9.9,42,3,0,"316,793"
Pennsylvania,State,1930,"9,631,350",10.5,215.3,8,34,-2,"283,274"
Puerto Rico,State,1930,"1,543,913",18.8,450.9,5,,,
Rhode Island,State,1930,"687,497",13.7,665,2,2,-1,"343,749"
South Carolina,State,1930,"1,738,765",3.3,57.8,20,6,-1,"289,793"
South Dakota,State,1930,"692,849",8.8,9.1,44,2,-1,"336,503"
Tennessee,State,1930,"2,616,556",11.9,63.5,18,9,-1,"290,722"
Texas,State,1930,"5,824,715",24.9,22.3,39,21,3,"277,362"
Utah,State,1930,"507,847",13,6.2,45,2,0,"252,871"
Vermont,State,1930,"359,611",2,39,30,1,-1,"359,611"
Virginia,State,1930,"2,421,851",4.9,61.3,19,9,-1,"269,092"
Washington,State,1930,"1,563,396",15.2,23.5,37,6,1,"258,737"
West Virginia,State,1930,"1,729,205",18.1,71.9,15,6,0,"288,200"
Wisconsin,State,1930,"2,939,006",11.7,54.3,22,10,-1,"293,172"
Wyoming,State,1930,"225,565",16,2.3,50,1,0,"223,630"
Midwest Region,Region,1930,"38,594,100",13.4,,,,,
Northeast Region,Region,1930,"34,427,091",16.1,,,,,
South Region,Region,1930,"37,857,633",14.3,,,,,
West Region,Region,1930,"12,323,836",33.8,,,,,
United States,Nation,1930,"123,202,660",16.2,34.7,,435,27,"280,675"
Alabama,State,1940,"2,832,961",7.1,55.9,23,9,0,"314,773"
Alaska,State,1940,"72,524",22.3,0.1,52,,,
Arizona,State,1940,"499,261",14.6,4.4,47,2,1,"249,631"
Arkansas,State,1940,"1,949,387",5.1,37.5,32,7,0,"278,484"
California,State,1940,"6,907,387",21.7,44.3,30,23,3,"300,321"
Colorado,State,1940,"1,123,296",8.4,10.8,42,4,0,"280,824"
Connecticut,State,1940,"1,709,242",6.4,353,6,6,0,"284,874"
Delaware,State,1940,"266,505",11.8,136.8,12,1,0,"266,505"
District of Columbia,State,1940,"663,091",36.2,"10,861.70",1,,,
Florida,State,1940,"1,897,414",29.2,35.4,33,6,1,"316,236"
Georgia,State,1940,"3,123,723",7.4,54.3,27,10,0,"312,372"
Hawaii,State,1940,"423,330",14.9,65.9,20,,,
Idaho,State,1940,"524,873",17.9,6.4,46,2,0,"262,437"
Illinois,State,1940,"7,897,241",3.5,142.2,11,26,-1,"303,740"
Indiana,State,1940,"3,427,796",5.8,95.7,13,11,-1,"311,618"
Iowa,State,1940,"2,538,268",2.7,45.4,29,8,-1,"317,284"
Kansas,State,1940,"1,801,028",-4.3,22,39,6,-1,"300,171"
Kentucky,State,1940,"2,845,627",8.8,72.1,17,9,0,"316,181"
Louisiana,State,1940,"2,363,880",12.5,54.7,26,8,0,"295,485"
Maine,State,1940,"847,226",6.2,27.5,36,3,0,"282,409"
Maryland,State,1940,"1,821,244",11.6,187.6,9,6,0,"303,541"
Massachusetts,State,1940,"4,316,721",1.6,553.4,4,14,-1,"308,337"
Michigan,State,1940,"5,256,106",8.5,93,14,17,0,"309,183"
Minnesota,State,1940,"2,792,300",8.9,35.1,34,9,0,"310,256"
Mississippi,State,1940,"2,183,796",8.7,46.5,28,7,0,"311,971"
Missouri,State,1940,"3,784,664",4.3,55.1,24,13,0,"291,128"
Montana,State,1940,"559,456",4.1,3.8,49,2,0,"279,728"
Nebraska,State,1940,"1,315,834",-4.5,17.1,40,4,-1,"328,959"
Nevada,State,1940,"110,247",21.1,1,51,1,0,"110,247"
New Hampshire,State,1940,"491,524",5.6,54.9,25,2,0,"245,762"
New Jersey,State,1940,"4,160,165",2.9,565.7,3,14,0,"297,155"
New Mexico,State,1940,"531,818",25.6,4.4,47,2,1,"265,909"
New York,State,1940,"13,479,142",7.1,286,7,45,0,"299,536"
North Carolina,State,1940,"3,571,623",12.7,73.5,16,12,1,"297,635"
North Dakota,State,1940,"641,935",-5.7,9.3,43,2,0,"320,968"
Ohio,State,1940,"6,907,612",3.9,169.1,10,23,-1,"300,331"
Oklahoma,State,1940,"2,336,434",-2.5,34.1,35,8,-1,"292,054"
Oregon,State,1940,"1,089,684",14.2,11.4,41,4,1,"272,421"
Pennsylvania,State,1940,"9,900,180",2.8,221.3,8,33,-1,"300,005"
Puerto Rico,State,1940,"1,869,255",21.1,546,5,,,
Rhode Island,State,1940,"713,346",3.8,690,2,2,0,"356,673"
South Carolina,State,1940,"1,899,804",9.3,63.2,21,6,0,"316,634"
South Dakota,State,1940,"642,961",-7.2,8.5,44,2,0,"321,481"
Tennessee,State,1940,"2,915,841",11.4,70.7,18,10,1,"291,584"
Texas,State,1940,"6,414,824",10.1,24.6,38,21,0,"305,468"
Utah,State,1940,"550,310",8.4,6.7,45,2,0,"275,155"
Vermont,State,1940,"359,231",-0.1,39,31,1,0,"359,231"
Virginia,State,1940,"2,677,773",10.6,67.8,19,9,0,"297,530"
Washington,State,1940,"1,736,191",11.1,26.1,37,6,0,"289,365"
West Virginia,State,1940,"1,901,974",10,79.1,15,6,0,"316,996"
Wisconsin,State,1940,"3,137,587",6.8,57.9,22,10,0,"313,759"
Wyoming,State,1940,"250,742",11.2,2.6,50,1,0,"250,742"
Midwest Region,Region,1940,"40,143,332",4,,,,,
Northeast Region,Region,1940,"35,976,777",4.5,,,,,
South Region,Region,1940,"41,665,901",10.1,,,,,
West Region,Region,1940,"14,379,119",16.7,,,,,
United States,Nation,1940,"132,165,129",7.3,37.2,,435,9,"301,164"
Alabama,State,1950,"3,061,743",8.1,60.5,24,9,0,"340,194"
Alaska,State,1950,"128,643",77.4,0.2,52,,,
Arizona,State,1950,"749,587",50.1,6.6,47,2,0,"374,794"
Arkansas,State,1950,"1,909,511",-2,36.7,34,6,-1,"318,252"
California,State,1950,"10,586,223",53.3,68,22,30,7,"352,874"
Colorado,State,1950,"1,325,089",18,12.8,42,4,0,"331,272"
Connecticut,State,1950,"2,007,280",17.4,414.5,6,6,0,"334,547"
Delaware,State,1950,"318,085",19.4,163.2,11,1,0,"318,085"
District of Columbia,State,1950,"802,178",21,"13,140.00",1,,,
Florida,State,1950,"2,771,305",46.1,51.7,29,8,2,"346,413"
Georgia,State,1950,"3,444,578",10.3,59.9,27,10,0,"344,458"
Hawaii,State,1950,"499,794",18.1,77.8,19,,,
Idaho,State,1950,"588,637",12.1,7.1,46,2,0,"294,319"
Illinois,State,1950,"8,712,176",10.3,156.9,12,25,-1,"348,487"
Indiana,State,1950,"3,934,224",14.8,109.8,14,11,0,"357,657"
Iowa,State,1950,"2,621,073",3.3,46.9,30,8,0,"327,634"
Kansas,State,1950,"1,905,299",5.8,23.3,39,6,0,"317,550"
Kentucky,State,1950,"2,944,806",3.5,74.6,20,8,-1,"368,101"
Louisiana,State,1950,"2,683,516",13.5,62.1,25,8,0,"335,440"
Maine,State,1950,"913,774",7.9,29.6,37,3,0,"304,591"
Maryland,State,1950,"2,343,001",28.6,241.4,8,7,1,"334,714"
Massachusetts,State,1950,"4,690,514",8.7,601.3,5,14,0,"335,037"
Michigan,State,1950,"6,371,766",21.2,112.7,13,18,1,"353,987"
Minnesota,State,1950,"2,982,483",6.8,37.5,33,9,0,"331,387"
Mississippi,State,1950,"2,178,914",-0.2,46.4,31,6,-1,"363,152"
Missouri,State,1950,"3,954,653",4.5,57.5,28,11,-2,"359,514"
Montana,State,1950,"591,024",5.6,4.1,49,2,0,"295,512"
Nebraska,State,1950,"1,325,510",0.7,17.3,40,4,0,"331,378"
Nevada,State,1950,"160,083",45.2,1.5,51,1,0,"160,083"
New Hampshire,State,1950,"533,242",8.5,59.6,26,2,0,"266,621"
New Jersey,State,1950,"4,835,329",16.2,657.5,4,14,0,"345,381"
New Mexico,State,1950,"681,187",28.1,5.6,48,2,0,"340,594"
New York,State,1950,"14,830,192",10,314.7,7,43,-2,"344,888"
North Carolina,State,1950,"4,061,929",13.7,83.5,17,12,0,"338,494"
North Dakota,State,1950,"619,636",-3.5,9,43,2,0,"309,818"
Ohio,State,1950,"7,946,627",15,194.5,10,23,0,"345,506"
Oklahoma,State,1950,"2,233,351",-4.4,32.6,36,6,-2,"372,225"
Oregon,State,1950,"1,521,341",39.6,15.8,41,4,0,"380,335"
Pennsylvania,State,1950,"10,498,012",6,234.6,9,30,-3,"349,934"
Puerto Rico,State,1950,"2,210,703",18.3,645.7,2,,,
Rhode Island,State,1950,"791,896",11,766,3,2,0,"395,948"
South Carolina,State,1950,"2,117,027",11.4,70.4,21,6,0,"352,838"
South Dakota,State,1950,"652,740",1.5,8.6,44,2,0,"326,370"
Tennessee,State,1950,"3,291,718",12.9,79.8,18,9,-1,"365,746"
Texas,State,1950,"7,711,194",20.2,29.5,38,22,1,"350,509"
Utah,State,1950,"688,862",25.2,8.4,45,2,0,"344,431"
Vermont,State,1950,"377,747",5.2,41,32,1,0,"377,747"
Virginia,State,1950,"3,318,680",23.9,84,16,10,1,"331,868"
Washington,State,1950,"2,378,963",37,35.8,35,7,1,"339,852"
West Virginia,State,1950,"2,005,552",5.4,83.4,15,6,0,"334,259"
Wisconsin,State,1950,"3,434,575",9.5,63.4,23,10,0,"343,458"
Wyoming,State,1950,"290,529",15.9,3,50,1,0,"290,529"
Midwest Region,Region,1950,"44,460,762",10.8,,,,,
Northeast Region,Region,1950,"39,477,986",9.7,,,,,
South Region,Region,1950,"47,197,088",13.3,,,,,
West Region,Region,1950,"20,189,962",40.4,,,,,
United States,Nation,1950,"151,325,798",14.5,42.6,,435,14,"344,587"
Alabama,State,1960,"3,266,740",6.7,64.5,28,8,-1,"408,343"
Alaska,State,1960,"226,167",75.8,0.4,52,1,1,"226,167"
Arizona,State,1960,"1,302,161",73.7,11.5,43,3,1,"434,054"
Arkansas,State,1960,"1,786,272",-6.5,34.3,36,4,-2,"446,568"
California,State,1960,"15,717,204",48.5,100.9,15,38,8,"413,611"
Colorado,State,1960,"1,753,947",32.4,16.9,42,4,0,"438,487"
Connecticut,State,1960,"2,535,234",26.3,523.6,6,6,0,"422,539"
Delaware,State,1960,"446,292",40.3,229,11,1,0,"446,292"
District of Columbia,State,1960,"763,956",-4.8,"12,513.90",1,,,
Florida,State,1960,"4,951,560",78.7,92.3,19,12,4,"412,630"
Georgia,State,1960,"3,943,116",14.5,68.6,26,10,0,"394,312"
Hawaii,State,1960,"632,772",26.6,98.5,17,2,2,"316,386"
Idaho,State,1960,"667,191",13.3,8.1,47,2,0,"333,596"
Illinois,State,1960,"10,081,158",15.7,181.6,12,24,-1,"420,048"
Indiana,State,1960,"4,662,498",18.5,130.1,14,11,0,"423,863"
Iowa,State,1960,"2,757,537",5.2,49.4,30,7,-1,"393,934"
Kansas,State,1960,"2,178,611",14.3,26.6,39,5,-1,"435,722"
Kentucky,State,1960,"3,038,156",3.2,76.9,23,7,-1,"434,022"
Louisiana,State,1960,"3,257,022",21.4,75.4,24,8,0,"407,128"
Maine,State,1960,"969,265",6.1,31.4,38,2,-1,"484,633"
Maryland,State,1960,"3,100,689",32.3,319.4,8,8,1,"387,586"
Massachusetts,State,1960,"5,148,578",9.8,660.1,5,12,-2,"429,048"
Michigan,State,1960,"7,823,194",22.8,138.4,13,19,1,"411,747"
Minnesota,State,1960,"3,413,864",14.5,42.9,32,8,-1,"426,733"
Mississippi,State,1960,"2,178,141",0,46.4,31,5,-1,"435,628"
Missouri,State,1960,"4,319,813",9.2,62.8,29,10,-1,"431,981"
Montana,State,1960,"674,767",14.2,4.6,49,2,0,"337,384"
Nebraska,State,1960,"1,411,330",6.5,18.4,40,3,-1,"470,443"
Nevada,State,1960,"285,278",78.2,2.6,51,1,0,"285,278"
New Hampshire,State,1960,"606,921",13.8,67.8,27,2,0,"303,461"
New Jersey,State,1960,"6,066,782",25.5,824.9,3,15,1,"404,452"
New Mexico,State,1960,"951,023",39.6,7.8,48,2,0,"475,512"
New York,State,1960,"16,782,304",13.2,356.1,7,41,-2,"409,324"
North Carolina,State,1960,"4,556,155",12.2,93.7,18,11,-1,"414,196"
North Dakota,State,1960,"632,446",2.1,9.2,45,2,0,"316,223"
Ohio,State,1960,"9,706,397",22.1,237.5,10,24,1,"404,433"
Oklahoma,State,1960,"2,328,284",4.3,33.9,37,6,0,"388,047"
Oregon,State,1960,"1,768,687",16.3,18.4,40,4,0,"442,172"
Pennsylvania,State,1960,"11,319,366",7.8,253,9,27,-3,"419,236"
Puerto Rico,State,1960,"2,349,544",6.3,686.2,4,,,
Rhode Island,State,1960,"859,488",8.5,831.4,2,2,0,"429,744"
South Carolina,State,1960,"2,382,594",12.5,79.3,21,6,0,"397,099"
South Dakota,State,1960,"680,514",4.3,9,46,2,0,"340,257"
Tennessee,State,1960,"3,567,089",8.4,86.5,20,9,0,"396,343"
Texas,State,1960,"9,579,677",24.2,36.7,35,23,1,"416,508"
Utah,State,1960,"890,627",29.3,10.8,44,2,0,"445,314"
Vermont,State,1960,"389,881",3.2,42.3,34,1,0,"389,881"
Virginia,State,1960,"3,966,949",19.5,100.5,16,10,0,"396,695"
Washington,State,1960,"2,853,214",19.9,42.9,32,7,0,"407,602"
West Virginia,State,1960,"1,860,421",-7.2,77.4,22,5,-1,"372,084"
Wisconsin,State,1960,"3,951,777",15.1,73,25,10,0,"395,178"
Wyoming,State,1960,"330,066",13.6,3.4,50,1,0,"330,066"
Midwest Region,Region,1960,"51,619,139",16.1,,,,,
Northeast Region,Region,1960,"44,677,819",13.2,,,,,
South Region,Region,1960,"54,973,113",16.5,,,,,
West Region,Region,1960,"28,053,104",38.9,,,,,
United States,Nation,1960,"179,323,175",18.5,50.6,,435,21,"410,481"
Alabama,State,1970,"3,444,165",5.4,68,28,7,-1,"496,555"
